epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,7852.07,0.73355,0.61187,1.27134,0.85079,0.86264,0.86723,0.56799,1.21704,0.79513,1.82779,0.0004952,0.0004952,0.0004952
116,7922.76,0.75241,0.62363,1.28261,0.88734,0.84288,0.87673,0.56642,1.21553,0.77927,1.80944,0.000482,0.000482,0.000482
117,7994.38,0.72752,0.59784,1.26882,0.86155,0.82657,0.86404,0.55478,1.23715,0.82643,1.85144,0.0004688,0.0004688,0.0004688
118,8065.62,0.72899,0.60831,1.26989,0.87152,0.82657,0.86869,0.55328,1.22766,0.79315,1.8572,0.0004556,0.0004556,0.0004556
119,8136.93,0.72824,0.61329,1.2657,0.86878,0.82288,0.87738,0.54999,1.24472,0.79496,1.86409,0.0004424,0.0004424,0.0004424
120,8208.13,0.72605,0.5991,1.26634,0.86744,0.821,0.86599,0.55375,1.23827,0.80622,1.85142,0.0004292,0.0004292,0.0004292
121,8279,0.73281,0.60689,1.27899,0.88017,0.81315,0.87136,0.55775,1.22332,0.79618,1.84187,0.000416,0.000416,0.000416
122,8349.94,0.71102,0.58319,1.25368,0.91313,0.78229,0.87533,0.55999,1.22012,0.78913,1.85057,0.0004028,0.0004028,0.0004028
123,8421.02,0.71646,0.59707,1.25833,0.88345,0.80074,0.87361,0.55701,1.22465,0.80965,1.85461,0.0003896,0.0003896,0.0003896
124,8491.77,0.71711,0.58837,1.2574,0.86985,0.81181,0.87303,0.55495,1.21779,0.82749,1.85813,0.0003764,0.0003764,0.0003764
125,8561.95,0.72274,0.59781,1.26798,0.86669,0.81919,0.86683,0.55756,1.22248,0.83493,1.86772,0.0003632,0.0003632,0.0003632
126,8631.27,0.72251,0.58796,1.26268,0.88303,0.79705,0.86481,0.54811,1.24741,0.83492,1.88442,0.00035,0.00035,0.00035
127,8699.55,0.71426,0.56647,1.25613,0.88891,0.7972,0.86231,0.55672,1.23843,0.83064,1.87935,0.0003368,0.0003368,0.0003368
128,8768.79,0.71347,0.59308,1.25593,0.85943,0.8155,0.85613,0.54733,1.24619,0.83763,1.89499,0.0003236,0.0003236,0.0003236
129,8838.69,0.70629,0.56801,1.24376,0.90947,0.78967,0.86751,0.55548,1.24385,0.80713,1.87757,0.0003104,0.0003104,0.0003104
130,8907.72,0.70304,0.56818,1.24807,0.89099,0.82288,0.8676,0.55977,1.2241,0.79509,1.86181,0.0002972,0.0002972,0.0002972
131,8976.13,0.71092,0.58001,1.25073,0.8905,0.82657,0.87024,0.55498,1.25266,0.81288,1.89013,0.000284,0.000284,0.000284
132,9044.22,0.6991,0.57649,1.24255,0.87165,0.83764,0.87388,0.55421,1.25465,0.80444,1.90053,0.0002708,0.0002708,0.0002708
133,9113.63,0.70034,0.57358,1.24506,0.88533,0.83395,0.87147,0.54869,1.2679,0.80131,1.92301,0.0002576,0.0002576,0.0002576
134,9183.23,0.6955,0.56587,1.24374,0.87923,0.83026,0.86657,0.55681,1.25148,0.8009,1.91366,0.0002444,0.0002444,0.0002444
135,9253.17,0.69504,0.56511,1.2396,0.87723,0.81919,0.85349,0.54502,1.25675,0.82685,1.90745,0.0002312,0.0002312,0.0002312
136,9322.86,0.69101,0.56195,1.24143,0.84587,0.83029,0.8596,0.55298,1.24104,0.82583,1.9009,0.000218,0.000218,0.000218
137,9390.9,0.68635,0.56653,1.23677,0.85906,0.82288,0.85709,0.5498,1.23676,0.82367,1.8914,0.0002048,0.0002048,0.0002048
138,9460.51,0.701,0.56767,1.24908,0.87211,0.80074,0.85912,0.55297,1.25227,0.82945,1.89958,0.0001916,0.0001916,0.0001916
139,9531.24,0.68242,0.55997,1.23166,0.88399,0.80443,0.85852,0.55609,1.24601,0.79785,1.89279,0.0001784,0.0001784,0.0001784
140,9601.83,0.6872,0.55548,1.23656,0.87254,0.80835,0.85258,0.55095,1.24669,0.8139,1.89044,0.0001652,0.0001652,0.0001652
141,9671.79,0.65625,0.48106,1.3443,0.88055,0.82657,0.86198,0.54032,1.27984,0.81912,1.92606,0.000152,0.000152,0.000152
142,9739.26,0.61708,0.42644,1.29344,0.88913,0.80812,0.85126,0.53878,1.27781,0.83211,1.91753,0.0001388,0.0001388,0.0001388
143,9805.02,0.5953,0.4084,1.27646,0.88136,0.79501,0.84919,0.54073,1.27813,0.82948,1.92329,0.0001256,0.0001256,0.0001256
144,9872.73,0.59403,0.40441,1.26821,0.85341,0.84133,0.85482,0.54182,1.27594,0.82764,1.91947,0.0001124,0.0001124,0.0001124
145,9938.44,0.57986,0.39661,1.25946,0.86346,0.8155,0.85754,0.54617,1.26903,0.82559,1.9204,9.92e-05,9.92e-05,9.92e-05
146,10006,0.58561,0.40137,1.26552,0.88247,0.80074,0.85552,0.55075,1.26818,0.82788,1.91879,8.6e-05,8.6e-05,8.6e-05
147,10073.9,0.57963,0.39247,1.25105,0.88118,0.80074,0.85373,0.54978,1.27303,0.83483,1.92738,7.28e-05,7.28e-05,7.28e-05
148,10139.9,0.56817,0.38933,1.2396,0.89495,0.80443,0.86623,0.54891,1.27086,0.83465,1.92401,5.96e-05,5.96e-05,5.96e-05
149,10206.7,0.56954,0.39023,1.25199,0.87636,0.82288,0.86485,0.55042,1.26736,0.83621,1.92013,4.64e-05,4.64e-05,4.64e-05
150,10273.9,0.56523,0.39521,1.24898,0.89849,0.80074,0.85653,0.55292,1.26125,0.83943,1.9151,3.32e-05,3.32e-05,3.32e-05
